feature,total_gain
centre,923966.26050663
cluster_base_rate,635754.2242933577
phylum,240097.0222388506
cluster_censored_frac,152658.2859893585
seq_len,126613.3504274115
n_precedents_cleared,96107.77284335671
n_cluster_precedents,67924.21480005421
n_close_precedents,60205.75987786241
net_charge_ph7,52611.144864130765
cluster_deposit_rate,51684.73697063327
gravy,51102.530861347914
aromatic_frac,48685.050940193236
pi,46995.65037226677
gly_frac,45482.08780372515
pro_frac,42547.95573307574
low_complexity_frac,38196.17299837843
n_precedents,37072.2718770802
cys_frac,36804.465188890696
met_frac,34485.63955567777
kingdom,29856.322003126144
has_uniprot,29781.217071145773
disorder_frac,27513.043230298907
disorder_internal,27257.472432121634
tm_helices,25145.490137577057
has_pfam,23461.10153758526
met_count,21883.77272219211
cys_count,19799.03928118944
archive_says_multidomain,17514.90170764923
disorder_nterm,12874.220360577106
n_sequences,12105.184358119965
disorder_cterm,12105.074622750282
archive_says_eukaryotic,9805.322098493576
signal_peptide,8393.710789084435
superkingdom,4113.004435062408
archive_says_membrane,4038.900631904602
closest_identity_band,3488.291351079941
n_references,0.0
